Название,Тип заведения,Средний чек,Адресс
Таңдастархан,столовая,,"Жангозина, 49/1, Каскелен, Карасайский район, Алматинская область"
Макарыч,магазин разливных напитков,Куры-гриль,"Бирлик, 16а, с. Кыргауылды, Карасайский район, Алматинская область"
Chicken boom,кафе,Средний чек 1500 тнг,"проспект Суюнбая, 573/1, Алматы"
Столовая,Столовые,,"Талант, 32а, Алматы"
Бексултан,столовая,Средний чек 600 тнг,"Бирлик, 1в/1, с. Кыргауылды, Карасайский район, Алматинская область"
As-fast,кафе быстрого питания,Средний чек 3000 тнг,"улица Лермонтова, 557, Талгар, Талгарский район, Алматинская область"
Yummy,кафе быстрого питания,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Safari food,кафе,,"Гагарина, 4а, пос. Отеген Батыра, Илийский район, Алматинская область"
Самсахана,киоск по продаже фастфудной продукции,,"Жана курылыс, 326а, Алматы"
Киоск фастфудной продукции,Быстрое питание,,"микрорайон Кокжиек, 15а киоск, Алматы"
Sushigres,кафе,Доставка,"Титова, 8в, пос. Отеген Батыра, Илийский район, Алматинская область"
Столовая,Столовые,,"Барыс, 110, Алматы"
Veranda,семейное кафе,Средний чек 3000 тнг,"Аубая Байгазиева, 198, Каскелен, Карасайский район, Алматинская область"
Краснодарский парень,ресторан быстрого питания,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Баракат,чайхана,,"Райымбека, 6, Каскелен, Карасайский район, Алматинская область"
Столовая,Столовые,,"проспект Суюнбая, 575/2, Алматы"
Pan Americano,кафе быстрого питания,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Peri Peri,сеть кафе быстрого питания,Доставка,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
LA Burger & Pizza,кафе быстрого питания,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Тан,кафе,,"Абылай хана, 8, пос. Боралдай, Илийский район, Алматинская область"
Tiger food,ресторан быстрого питания,Средний чек 1500 тнг,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Plov universal studio,кафе быстрого питания,,"Молл Апорт, Ташкентский тракт, 17к, Алматы"
Киоск по продаже фастфудной продукции,Быстрое питание,,"микрорайон Жулдыз-2, 20 киоск, Алматы"
Максат,столовая,Средний чек 500 тнг,"Лукина, 2, пос. Отеген Батыра, Илийский район, Алматинская область"
IKIGAI,суши-бар,,"проспект Абылай хана, 22, Каскелен, Карасайский район, Алматинская область"
Food mix,кафе,Доставка,"Рыскулова, 216, Талгар, Талгарский район, Алматинская область"
Ак Кайын,кафе,,"Сапарлы жол, 1, с. Иргели, Карасайский район, Алматинская область"
Ковчег,таверна,Средний чек 5000 тнг,"Әлмерек абыз, 13г, с. Байтерек, Енбекшиказахский район, Алматинская область"
Дамди,столовая,,"Ташкентский тракт 18 км, 1/8, Алматы"
Алтын Адам,ресторан,,"улица Абылай Хана, 80, Талгар, Талгарский район, Алматинская область"
Султан,кафе,Средний чек 4000 тнг,"ПК Акжол, 27, с. Туздыбастау, Талгарский район, Алматинская область"
Express,кафе,Средний чек 4000 тнг,"проспект Суюнбая, 222Б, Алматы"
Леяс,столовая,,"Спасская, 82/1, Алматы"
Столовая,Столовые,Средний чек 600 тнг,"Ақсуат, 118а, Алматы"
Блинная,Быстрое питание,Доставка,"Бостанова, 29, пос. Боралдай, Илийский район, Алматинская область"
